"Asset No","SAP Ref. No","Invoice No","Asset Name",Category,Type,Status,"Serial No",Make,Model,"Pur Value","Pur Date","Pur From","PO No","User Full Name",Department,Division,Factory,Site,N.Username,"Part Name","Mother Board",Processor,Speed,SSD,HDD,RAM,Network,"Mac Address","Total Cost",OS,"Last Rebuild",Bag,OEM,"OEM Serial",Remark
BD-00039,,n/a,SDLD127B,Computer,Desktop,Assigned,J1M0KC030422,Clone,H110M-CS,"27,500",2019-02-25,"Global Brand/ INV-GBPGL-2019-001260/ 3yr wrnty",SIL0000069,"Lutfor Rahman",IE,LWR,SIL,SDL,lrahman,,Asus,"Intelï¿½ Coreï¿½ i3-7100",3.9,,1024,8192,,,,"WIN10 Pro",,,"Win 7 Pro",KCKV7-CYRWD-7GD83-FXPBV-9JPD7,
BD-00040,,,,Display,Monitor,Stock,CNN8030387,HP,L1908W,"8,600",2011-02-02,,,,MIS,LWR,,SDL,,,,,,,,,,,,,,,,,
BD-00041,,n/a,,Computer,Desktop,"Need to Dispose",C7M0CS117911,Clone,P8H61-MLX3,"14,500",2014-11-29,,,,MIS,LWR,SDL,SDL,,,,"Intel Pentium R (2 cores)",2.70,,1024,"4096 ",,,,"WIN10 Pro",2021-07-18,,None,,
BD-00042,,,,Display,"CRT Monitor",Disposed,WE000532407774,Philips,105G7,"5,500",2005-01-01,,,,MIS,LWR,,SDL,,,,,,,,,,,,,,,,,
BD-00043,,,,Network,Switch,Disposed,F302384004177,D-Link,"DES 1008D","4,000",2009-01-01,,,,MIS,LWR,,SDL,,,,,,,,,,,,,,,,,
BD-00044,,,,Computer,Desktop,Disposed,4VRVYIS,Dell,"Vostro 220","14,500",2010-02-04,,,,MIS,LWR,,SDL,,,,,,,,,,,,,,,,,
BD-00045,,,,Display,Monitor,Disposed,CN0U578641808A6673M,Dell,E1609WC,"4,800",2010-06-07,,,,MIS,LWR,,SDL,,,,,,,,,,,,,,,,,
BD-00046,,,,UPS,UPS,Assigned,B03K160024338A6,"Rahim Afrooz",600VA,"2,800",2010-03-02,,,"Hamidul Islam",Cutting,LWR,,SDL,haislam,,,,,,,,,,,,,,,,
BD-00047,,n/a,SDLD024D,Computer,Desktop,Assigned,133490028083,Clone,H61M-S2PV,"15,000",2015-02-14,,,"Rasel Sikder","Qaulity Assurance",LWR,SDL,SDL,rsikder,,Gigabyte,"Intel Pentium R (2 cores)",2.90,,1024,"8192 ",,,,"WIN10 Pro",2020-03-08,,"WIN XP Pro","OEM serial number got ereased",
BD-00048,,,,Display,"CRT Monitor",Disposed,ANI5HHAX205807E,Samsung,551S,"5,500",2002-01-01,,,,MIS,LWR,,SDL,,,,,,,,,,,,,,,,,
BD-00049,21004000017,n/a,,UPS,UPS,Disposed,E110322908,"Power Guard",PG-650AOF,"2,900",2010-03-02,,,"Nishan Ali",Production,LWR,SDL,SDL,nali,,,,,,,,,,,,,,,,
BD-00050,,,Ex.SDLD235,Computer,Desktop,Disposed,7697X81,Dell,"Optiplex GX620","45,000",2010-01-01,,,"Autocutter SDL",CAD,LWR,,SDL,asdl,,,"Intel Pentium 4",3.40,,250,"512 ",,,,"XP Pro",,,"PC XP Pro",,
BD-00051,,,,Display,Monitor,Disposed,CNOY4413728725AI2FCQ,Dell,,"6,400",2009-01-01,,,,MIS,LWR,,SDL,asdl,,,,,,,,,,,,,,,,"Autocutter SDL"
BD-00052,,na,SDLD015E,Computer,Desktop,Assigned,SN151260052905,HP,"Pro 3330 MT","14,500",2015-05-15,,,"Arafat Shuvo",Cutting,SWR,SDL,SDL,arshuvo,,Gigabyte,"Intel Pentium R (2 cores)",3.1,,250,4096,,,,"WIN 11 Pro",2025-06-17,,"WIN Vista Buiness",32JQ7-KXW3R-8KHMB-TV7PP-7B44J,"Purchase date May2015 Smart Technology"
BD-00053,,,,Display,"CRT Monitor",Disposed,CNC8192GM9,HP,5502,"5,500",2004-01-01,,,,MIS,LWR,,SDL,,,,,,,,,,,,,,,,,
BD-00054,,,"Ex. SDLD239B",Computer,Desktop,Disposed,ABBF44901588,Clone,"D865 GBF","14,000",2002-01-01,,,,MIS,LWR,,SDL,,,INTEL,"Intel Pentium 4",2.40,,40,"1024 ",,,,"WIN7 Pro",,,None,,
BD-00055,,,,Display,"CRT Monitor",Disposed,WE000333241648,Philips,105S5,"5,500",2005-01-01,,,,MIS,LWR,,SDL,,,,,,,,,,,,,,,,,
BD-00056,21004000053,,,UPS,UPS,Disposed,E110328309,"Power Guard",PG-2000AOF,"4,800",2010-03-02,,,,MIS,LWR,,SDL,,,,,,,,,,,,,,,,,
BD-00057,,1,,Computer,Desktop,Disposed,BTGC61000XFU,Clone,D101GGC,"14,000",2005-01-01,,,,MIS,LWR,SDL,SDL,,,Intel,"Intel Pentium 4",3.00,,250,"1024 ",,,,"WIN7 Pro",,,None,,
BD-00058,,,,Display,Monitor,Disposed,AU1A074407862,Philips,107s,"6,400",2008-01-01,,,,MIS,LWR,,SDL,,,,,,,,,,,,,,,,,
BD-00059,,n/a,SDLD193G,Computer,Desktop,Assigned,210381823101876,Clone,"Asus  Prime H410M CS SI",42000,2021-06-05,"Global Brand",,"Serazul Haque","Qaulity Assurance",LWR,SWL,SDL,shaque,,Asus,"Intel Core i3 10100",3.6,256,,8192,,,42000,"WIN10 Pro",2021-06-07,,"Win 10 Pro",N6VTW-7PJJ2-HF2X9-Y3PFK-P3722,
BD-00060,,,,Display,"CRT Monitor",Disposed,WE000620404021,Philips,105G7,"5,500",2005-01-01,,,,MIS,LWR,,SDL,,,,,,,,,,,,,,,,,
BD-00061,,,,UPS,UPS,Assigned,27360,Micro,"UVS 1000","4,800",2012-01-01,,,"Naznin Akhi",IE,LWR,,SDL,nakhi,,,,,,,,,,,,,,,,
BD-00062,,n/a,SDLD169D,Computer,Desktop,Assigned,SN152160061644,Clone,GA-H81M-S2PV,"14,500",2015-12-05,"Smart Technology",,"Shamsujjaman Akand",Quality,LWR,SDL,SDL,sakand,,Gigabyte,"Intel Pentium R (2 cores)",3.20,,500,"4096 ",,,,"WIN10 Pro",2021-08-17,,None,,
BD-00063,,,,Display,"CRT Monitor",Disposed,WE020404206075,Philips,105S,"5,500",2005-01-01,,,,MIS,LWR,,SDL,,,,,,,,,,,,,,,,,
BD-00064,,,"Ex. SDLD145",Computer,Desktop,Disposed,LAAV53800979,Clone,D915GAV,"14,000",2004-01-01,,,,MIS,LWR,,SDL,,,Intel,,,,,,,,,,,,,,
BD-00065,,,,Display,"CRT Monitor",Disposed,LB15HMBY610436R,Samsung,591S,"5,500",2004-01-01,,,,MIS,LWR,,SDL,,,,,,,,,,,,,,,,,
BD-00066,,n/a,SDLD083E,Computer,Desktop,Assigned,180117859601907,Clone,"Asus Prime H110M-CS","25,000",2019-03-02,,SDL200102,"Shafat Chowdhury",IE,SWR,SDL,SDL,shchowdhury,,"Asus Prime H110M-CS","Intel Core i3 7100",3.90,,1000,"8092 ",,,,"WIN10 Pro",2021-10-14,,None,,
BD-00067,,,,Display,"CRT Monitor",Disposed,CNC730067G,HP,mx705,"5,500",2005-01-01,,,,MIS,SWR,,SDL,,,,,,,,,,,,,,,,,
BD-00068,21004000053,n/a,,UPS,UPS,Disposed,E110328310,"Power Guard",PG2000AOF,"4,800",2010-03-02,,,,MIS,LWR,SDL,SDL,,,,,,,,,,,,,,,,,
BD-00069,11004000129,,SDLP010,Printer,Printer,Assigned,VNC3T04240,HP,"Laser Jet 2055DN","44,000",2011-08-17,,,"LWR IE ALL",IE,LWR,,SDL,Common,,,,,,,,,,,,,,,,
BD-00070,,1,SDLD171E,Computer,Desktop,Assigned,1010010007,Clone,"Asus H310M-K","27,000",2019-05-12,,,"Murad Hossain","Marketing & Merchandising",LWR,SDL,SDL,hmurad,,,"Intel Core i3 8100",3.90,250,,"8192 ",,,,"WIN10 Pro",,,None,,
BD-00071,,,SDLM171,Display,Monitor,Assigned,AU6A0817000444,Philips,170CW,"5,500",2009-02-04,,,"Paruli Akther",Finishing,LWR,SDL,SDL,pakther,,,,,,,,,,,,,,,,
BD-00072,,,,UPS,UPS,Disposed,2NO8C00446,Socomec,NET0600PET,"15,000",2007-01-01,,,,MIS,LWR,,SDL,,,,,,,,,,,,,,,,,
BD-00073,,INV-GBPGL-2020-002483,SDLD150F,Computer,Desktop,Assigned,L1M0KC78683AFH,Clone,"Asus  Prime H310M-E R2.0",40850,0020-06-06,"Global Brand",SDL2000192,"Zinnatul Islam",Production,LWR,SIL,SDL,ziislam,,Asus,"Intel Core i3 7100",3.90,"250 GB",1024,8192,,,,"WIN 11 Pro",2025-06-15,,"Win 10 Pro",N2WCW-QGMKK-TFVGT-BF3DQ-2WF9G,
BD-00074,,,SDLM150,Display,Monitor,Disposed,DS000521007470,Philips,150B,"6,400",2009-01-01,,,,MIS,LWR,,SDL,,,,,,,,,,,,,,,,,
BD-00075,,,,UPS,UPS,Disposed,B03K16002486A6,"Rahim Afrooz",600VA,"2,800",2010-03-02,,,,MIS,LWR,,SDL,,,,,,,,,,,,,,,,,
BD-00076,,,SDLL046C,Computer,Laptop,Disposed,FPC04497DP,Fujitsu,"LH 530","29,000",2019-04-20,,,,MIS,LWR,,SDL,,,,"Intel Core i3",3.60,,1024,"8192 ",,,,"WIN10 Pro",,,None,,
BD-00077,,n/a,,"Computer Accessories",Speaker,Disposed,YBBCMB6600250497,Csm,"LH 530","2,500",2007-01-01,,,,MIS,LWR,SDL,SDL,,,,,,,,,,,,,,,,,
BD-00078,,n/a,SDLD205F,Computer,Desktop,Assigned,SN152160062462,Clone,GA-H81M-S2PV,"14,500",2010-05-03,,,"Ashraful Alom",HR,LWR,SDL,SDL,aalom,,Gigabyte,"Intel Pentium R (2 cores)",3.20,,160,"4096 ",,,,"WIN10 Pro",,,None,,"Smart technology, 5th June-2015"
BD-00079,,,SDLM205,Display,Monitor,Assigned,001INXJ4E154,LG,W2043S,"11,200",2009-02-04,,,"Jakaria Khondokar",CAD,LWR,,SDL,jkhondokar,,,,,,,,,,,,,,,,
BD-00080,,,"Ex. SDLD212",Computer,Desktop,Disposed,L3XXNKV,IBM,PAM,"14,000",2008-01-01,,,,MIS,LWR,,SDL,,,,,,,,,,,,,,,,,
BD-00081,,n/a,,Display,Monitor,"Need to Dispose",ME20H9LQ101930P,Samsung,206BW,"5,500",2010-03-02,,,,MIS,LWR,SIL,SDL,,,,,,,,,,,,,,,,,
BD-00082,,,"Ex. SDLD202",Computer,Desktop,Disposed,"BTIS648003DJ AA D66165-302",Intel,D946GZIS,"14,000",2004-01-01,,,,MIS,LWR,,SDL,,,,,,,,,,,,,,,,,
BD-00083,,,,Display,"CRT Monitor",Disposed,CX000522426379,Philips,,"5,500",2004-01-01,,,,MIS,LWR,,SDL,,,,,,,,,,,,,,,,,
BD-00084,,n/a,SDLD170F,Computer,Desktop,Assigned,1C6F65E50E9D,Clone,"Asus  Prime H410M CS SI",40850,2021-01-25,"Global Brand",SDL2000229,"Ashraful Islam 2","Marketing & Merchandising",LWR,SIL,SDL,asislam,,Gigabyte,"Intel Core i3 10100",3.6,256,,8192,,,,"WIN10 Pro",2021-10-11,,"Win 10 Pro",X2BKC-NJB83-B3RPW-28R7K-WTYP6,
BD-00085,,1,,Display,Monitor,"Need to Dispose",96LMZ0485119,Asus,"VH192 19","8,600",2010-02-03,,,"Sanaullah Bhuiyan","Accounts & Finance",LWR,HO,SDL,sbhuiyan,,,,,,,,,,,,,,,,"Monitor power problem sometime take long time to open Ex user Rubel FaraziFinishing"
BD-00086,,,,Printer,Printer,Disposed,TH83B337F0,HP,"Deskjet D1460","2,900",2009-01-01,,,,MIS,LWR,,SDL,,,,,,,,,,,,,,,,,
BD-00087,,n/a,,UPS,UPS,Disposed,2647,Micro,600VA,"2,800",2012-01-01,,,"Masud Zaman",Quality,LWR,SDL,SDL,mzaman,,,,,,,,,,,,,,,,
BD-00088,,,,Network,"Access Point ",Stock,IC436C5N02B6B,NetGear,WG602,"6,000",2009-01-01,,,"SIL Server room",MIS,LWR,,SDL,,,,,,,,,,,,,,,,,
BD-00089,,1,SDLD148E,Computer,Desktop,"Need to Dispose",BAN0AB269577,Clone,P8H61-MLX,"14,500",2013-07-06,,,"Helal Udden",Production,LWR,SDL,SDL,hudden,,Gigabyte,"Intel Pentium R (2 cores)",2.60,,500,"4096 ",,,,"WIN10 Pro",,,None,,
BD-00090,,,,Display,Monitor,Disposed,DS000521007319,Philips,150B,"6,400",2009-01-01,,,,MIS,LWR,,SDL,,,,,,,,,,,,,,,,,
BD-00091,,,,UPS,UPS,Assigned,B03K160024341A6,"Rahim Afrooz",600VA,"2,800",2010-03-02,,,"SDL Sample",Sample,LWR,,SDL,ssample,,,,,,,,,,,,,,,,
BD-00092,,1,SDLD139C,Computer,Desktop,Service,J4M0AB174767,Clone,H110M-E,"25,000",2011-02-02,"Cpu configuration updated in Jan,19",,"Nishan Ali",Production,LWR,SDL,SDL,nali,,,"intel Core i3",3.90,,1000,"8192 ",,,,"WIN10 Pro",,,None,,
BD-00093,,,,Display,Monitor,Disposed,DS000521007345,Philips,150B,"6,400",2009-01-01,,,,MIS,LWR,,SDL,,,,,,,,,,,,,,,,,
BD-00094,,,,UPS,UPS,Disposed,880716016456,Prolink,PC600,"2,800",2009-01-01,,,,MIS,LWR,,SDL,,,,,,,,,,,,,,,,,
BD-00095,,,,Printer,Printer,Disposed,FSU1YQ21631,Epson,LQ-590,"28,000",2005-06-27,,,,MIS,LWR,,SDL,,,,,,,,,,,,,,,,,
BD-00096,,n/a,SDLD141I,Computer,Desktop,Assigned,H8M0AB001359,Clone,H110M-E,"35,200",2018-02-26,"Global Brand/ INV-GBPGL-2018-001361/ 2yr warranty",,"Rumana Khatun",Finishing,LWR,SDL,SDL,rkhatun,90MB0RK0-M0UAY0,ASUS,"intel Core i3",3.90,256,,"8192 ",,,,"WIN10 Pro",2024-09-24,,"Win 10 Pro",P7672-NWC78-XWG78-33KH4-CR4C2,
BD-00097,,,,Display,Monitor,Disposed,CNC83607LF,HP,7540,"6,400",2009-01-01,,,,MIS,LWR,,SDL,,,,,,,,,,,,,,,,,
BD-00098,,n/a,,UPS,UPS,Disposed,B04K200082907A6,"Rahim Afrooz",600VA,"2,800",2010-03-02,,,"Mirza Zahurul",Finishing,LWR,SDL,SDL,mzahurul,,,,,,,,,,,,,,,,
BD-00099,,n/a,SDLD054B,Computer,Desktop,Disposed,4061867A065F,Clone,G945,"15,000",2003-01-01,,,"Shaifuddin Khaled (Sumon)",BMT,LWR,SDL,SDL,skhaled,,,"Intel Core 2Duo",2.93,,80,"2048 ",,,,"WIN10 Pro",,,None,,
BD-00100,,,,Display,Monitor,Assigned,CNC751PPPW,HP,L1910,"8,600",2011-02-02,,,"Abdul Hakim",Quality,LWR,,SDL,ahakim,,,,,,,,,,,,,,,,
BD-00101,,N/A,,UPS,UPS,"Need to Dispose",B04K200084134A6,"Rahim Afrooz",600VA,"2,800",2010-03-02,,,"Abdul Karim","Human Resource",LWR,SIL,SDL,akarim,,,,,,,,,,,,,,,,
BD-00102,,1,SDLD480,Computer,Desktop,Assigned,J1M0KC032558,Clone,H110M-CS,"15,000",2004-02-15,"Global Brand",,"Abdul Mannan",Quality,LWR,SDL,SDL,amannan,,,"Intel Core i3",3.90,,1000,"8192 ",,,,"WIN10 Pro",,,"WIN XP Pro",BYMRF-FR74F-YY7MP-2YTVR-KXK43,"CPU configuration updated in Jan2019"
BD-00103,,,,Display,"CRT Monitor",Disposed,We000545401161,Philips,106G7,"5,500",2004-01-01,,,,MIS,LWR,,SDL,,,,,,,,,,,,,,,,,
BD-00104,,,,UPS,UPS,Disposed,B03K160024339A6,"Rahim Afrooz",600VA,"2,800",2010-03-02,,,,MIS,LWR,,SDL,,,,,,,,,,,,,,,,,
BD-00105,,n/a,SDLD056B,Computer,Desktop,"Need to Dispose",,Clone,41,13000,2010-06-03,"Global Brand",N/A,Yeamin,"Industrial Engineering",LWR,SDL,SDL,,,,,3.6,,,,,,,"WIN10 Pro",2021-02-14,,,,
BD-00106,,,,Display,Monitor,Disposed,ETF5604629SLO,Benq,FP71G*,"6,400",2008-01-01,,,,MIS,LWR,,SDL,,,,,,,,,,,,,,,,,
BD-00107,,,,UPS,UPS,Disposed,3016710047014,Leonics,Acura1050,"4,800",2009-01-01,,,,MIS,LWR,,SDL,,,,,,,,,,,,,,,,,
BD-00108,,,,Display,"CRT Monitor",Disposed,CNC83607LN,HP,7540,"5,500",2004-01-01,,,,MIS,LWR,,SDL,,,,,,,,,,,,,,,,,
BD-00109,,,,Scanner,Scanner,Disposed,C17039M000861,Umax,Astra-4600,"3,200",2008-02-02,,,,MIS,LWR,,SDL,,,,,,,,,,,,,,,,,
BD-00110,,n/a,SDLD156D,Computer,Desktop,Assigned,L9M0KC0957705VF,Asus,"Asus  Prime H310M-E R2.0",40000,2021-02-03,"Global Brand",N/A,Khokon.Mahmud,Quality,LWR,SIL,SDL,kmahmud,,Asus,"Intel Core i3 9100",3.6,,1024,8192,,,,"WIN10 Pro",2021-02-14,,"Win 10 Pro",GQC7H-4HNVX-WDK9B-KVVD8-2GYP6,
BD-00111,,,,Display,"CRT Monitor",Disposed,WE000532407784,Philips,105G7,"5,500",2005-01-01,,,,MIS,LWR,,SDL,,,,,,,,,,,,,,,,,
BD-00112,,,,UPS,UPS,Disposed,B03K160024124A6,"Rahim Afrooz",600VA,"2,800",2010-03-02,,,,MIS,LWR,,SDL,,,,,,,,,,,,,,,,,
BD-00113,,,,Scanner,Scanner,Assigned,KBMC16816,Canon,"Lide 25","3,200",2008-02-02,,,"Mohammad Rasel",MNT,LWR,,SDL,mrasel,,,,,,,,,,,,,,,,
